# gapseq version: 1.2 c1e35b7c
# Transporter sequence DB md5sum: b99a77e (2022-08-26)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|Q6U8D0|1.A.1.14.3	1.A.1.14.3	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q6U8D0|1.A.1.14.3	28.505	2.04e-16	76.6	70	contig_11	4143332	4142742	transporter
gnl|TC-DB|A0L5S6|1.A.1.14.6	1.A.1.14.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|A0L5S6|1.A.1.14.6	33.871	1.72e-35	132	85	contig_11	4143404	4142709	transporter
gnl|TC-DB|J8TM36|1.A.1.14.8	1.A.1.14.8	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|J8TM36|1.A.1.14.8	26.778	5.54e-22	92.8	83	contig_11	4143434	4142754	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	30.319	1.80e-17	79.3	77	contig_11	201061	200507	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	27.434	7.95e-10	57.0	84	contig_11	1130916	1131584	transporter
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	30.539	2.31e-11	60.1	72	contig_11	3178807	3178310	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	26.344	1.99e-06	45.1	81	contig_11	2168315	2167770	transporter
gnl|TC-DB|XP_029399360.1|1.A.27.2.4	1.A.27.2.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|XP_029399360.1|1.A.27.2.4	25.301	4.5	25.4	80	contig_11	2502790	2502338	transporter
gnl|TC-DB|XP_029399360.1|1.A.27.2.4	1.A.27.2.4	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|XP_029399360.1|1.A.27.2.4	25.301	4.5	25.4	80	contig_11	2502790	2502338	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	33.632	4.89e-37	135	91	contig_11	2016709	2016041	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	39.908	2.50e-46	161	95	contig_11	2016703	2016059	transporter
gnl|TC-DB|Q50E47|1.A.98.1.2	1.A.98.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q50E47|1.A.98.1.2	33.333	0.29	25.4	95	contig_11	1146578	1146453	transporter
gnl|TC-DB|Q9S3J9|2.A.1.2.18	2.A.1.2.18	lactose	EX_cpd00208_e0	rxn08779,rxn08781,rxn10169	gnl|TC-DB|Q9S3J9|2.A.1.2.18	26.031	4.02e-21	93.2	98	contig_11	1117912	1119072	transporter
