react_id	react_name	react_rev	react_single	react_de	lowbnd	uppbnd	obj_coef	gprRules	gpr	seed	rxn	name	ec	tc	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID	Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd	sol$fluxes
EX_cpd00065_e0	L-Tryptophan Exchange	TRUE	NA	NA	-0.1	1000	0			EX_cpd00065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/SBO:0000627	NA	NA	NA	NA	NA	MS id not found in the gapseq database	0
EX_cpd00216_e0	Chorismate Exchange	TRUE	NA	NA	-0.1	1000	0			EX_cpd00216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/SBO:0000627	NA	NA	NA	NA	NA	MS id not found in the gapseq database	0
EX_cpd00066_e0	L-Phenylalanine Exchange	TRUE	NA	NA	-0.1	1000	0			EX_cpd00066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/SBO:0000627	NA	NA	NA	NA	NA	MS id not found in the gapseq database	0
EX_cpd00069_e0	L-Tyrosine Exchange	TRUE	NA	NA	-0.1	1000	0			EX_cpd00069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/SBO:0000627	NA	NA	NA	NA	NA	MS id not found in the gapseq database	0
EX_cpd11416_c0	EX cpd11416 c0	FALSE	NA	NA	0	1000	1			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA	MS id not found in the gapseq database	0
rxn00015_c0	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	TRUE	NA	NA	-1000	1000	0			rxn00015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00015;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00015;http://identifiers.org/kegg.reaction:R00018;http://identifiers.org/bigg.reaction:HSPMS;http://identifiers.org/biocyc:META:2.5.1.44-RXN;http://identifiers.org/metanetx.reaction:MNXR100740	MNXR100740	rxn00015	R00018	HSPMS	2.5.1.44-RXN	rxn00015_Shan	"cpd00118[c0],cpd00013[c0],cpd03802[c0]"	"Putrescine[c0],NH3[c0],Homospermidine[c0]"	"-2,1,1"	"1,1,1"	rxn00015	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	TRUE	-1000	1000	0.000917125743348669
rxn00029_c0	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	FALSE	NA	NA	0	1000	0			rxn00029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00029;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00029;http://identifiers.org/kegg.reaction:R00036;http://identifiers.org/bigg.reaction:PPBNGS;http://identifiers.org/bigg.reaction:PPBNGS_1;http://identifiers.org/biocyc:META:PORPHOBILSYNTH-RXN;http://identifiers.org/metanetx.reaction:MNXR103095	MNXR103095	rxn00029	R00036	PPBNGS;PPBNGS_1	PORPHOBILSYNTH-RXN	rxn00029_Shan	"cpd00338[c0],cpd00001[c0],cpd00067[c0],cpd00689[c0]"	"5-Aminolevulinate[c0],H2O[c0],H+[c0],Porphobilinogen[c0]"	"-2,2,1,1"	"1,1,1,1"	rxn00029	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	FALSE	0	1000	0.00522956806907568
rxn00097_c0	ATP:AMP phosphotransferase	TRUE	NA	NA	-1000	1000	0			rxn00097	ADENYL-KIN-RXN	AMP kinase	2.7.4.3	NA	UniRef90_Q9HIT1	37.158	9.59e-33	119	97	contig_1	26574	26029	|PWY-7219|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.7.4.3;http://identifiers.org/seed.reaction:rxn00097;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00097;http://identifiers.org/kegg.reaction:R00127;http://identifiers.org/bigg.reaction:ADK1;http://identifiers.org/bigg.reaction:ADK1m;http://identifiers.org/bigg.reaction:ATAMh;http://identifiers.org/biocyc:META:ADENYL-KIN-RXN;http://identifiers.org/metanetx.reaction:MNXR95450	MNXR95450	rxn00097	R00127	ADK1;ADK1m;ATAMh	ADENYL-KIN-RXN	rxn00097_Shan	"cpd00002[c0],cpd00018[c0],cpd00067[c0],cpd00008[c0]"	"ATP[c0],AMP[c0],H+[c0],ADP[c0]"	"-1,-1,-1,2"	"1,1,1,1"	rxn00097	ATP:AMP phosphotransferase	TRUE	-1000	1000	9.5995543474786
rxn00100_c0	ATP:dephospho-CoA 3'-phosphotransferase	FALSE	NA	NA	0	1000	0			rxn00100	DEPHOSPHOCOAKIN-RXN	dephospho-CoA kinase	2.7.1.24	NA	UniRef50_A0A2H5VEW4	45.604	3.84e-52	175	97	contig_1	469966	469421	|COA-PWY|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.7.1.24;http://identifiers.org/seed.reaction:rxn00100;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00100;http://identifiers.org/kegg.reaction:R00130;http://identifiers.org/bigg.reaction:DPCOAK;http://identifiers.org/bigg.reaction:DPCOAKm;http://identifiers.org/biocyc:META:DEPHOSPHOCOAKIN-RXN;http://identifiers.org/metanetx.reaction:MNXR97762	MNXR97762	rxn00100	R00130	DPCOAK;DPCOAKm	DEPHOSPHOCOAKIN-RXN	rxn00100_Shan	"cpd00002[c0],cpd00655[c0],cpd00008[c0],cpd00010[c0],cpd00067[c0]"	"ATP[c0],Dephospho-CoA[c0],ADP[c0],CoA[c0],H+[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn00100	ATP:dephospho-CoA 3'-phosphotransferase	FALSE	0	1000	3.90266271055682e-05
rxn00114_c0	ATP:carbamate phosphotransferase	TRUE	NA	NA	-1000	1000	0			rxn00114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00114;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00114;http://identifiers.org/kegg.reaction:R00150;http://identifiers.org/bigg.reaction:CBMKr;http://identifiers.org/biocyc:META:CARBAMATE-KINASE-RXN;http://identifiers.org/metanetx.reaction:MNXR96482	MNXR96482	rxn00114	R00150	CBMKr	CARBAMATE-KINASE-RXN	rxn00114_Shan	"cpd00002[c0],cpd00011[c0],cpd00013[c0],cpd00008[c0],cpd00067[c0],cpd00146[c0]"	"ATP[c0],CO2[c0],NH3[c0],ADP[c0],H+[c0],Carbamoylphosphate[c0]"	"-1,-1,-1,1,2,1"	"1,1,1,1,1,1"	rxn00114	ATP:carbamate phosphotransferase	TRUE	-1000	1000	0.0770610784781798
