target_rxn_IDs	target_rxn_name	flux	Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd	react_id	gpr	rxn	name	ec	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID	ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.00168403211114469	rxn00138_Shan	"cpd00002[c0],cpd00013[c0],cpd00638[c0],cpd00003[c0],cpd00012[c0],cpd00018[c0],cpd00067[c0]"	"ATP[c0],NH3[c0],Deamido-NAD[c0],NAD[c0],PPi[c0],AMP[c0],H+[c0]"	"-1,-1,-1,1,1,1,2"	"1,1,1,1,1,1,1"	rxn00138	deamido-NAD+:ammonia ligase (AMP-forming)	FALSE	0	1000	rxn00138_c0	contig_16_1658315:1660051	NAD-SYNTH-GLN-RXN	glutamine-dependent NAD synthase	6.3.5.1	UniRef90_O67091	36.102	4.76e-100	329	99	contig_16	1658315	1660051	|PWY3O-4107|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:6.3.5.1;http://identifiers.org/seed.reaction:rxn00138;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00138;http://identifiers.org/kegg.reaction:R00189;http://identifiers.org/bigg.reaction:NADS1;http://identifiers.org/bigg.reaction:NADS1m;http://identifiers.org/bigg.reaction:NADS1n;http://identifiers.org/biocyc:META:NAD-SYNTH-NH3-RXN;http://identifiers.org/metanetx.reaction:MNXR101897	MNXR101897	rxn00138	R00189	NADS1;NADS1m;NADS1n	NAD-SYNTH-NH3-RXN	|PWY3O-4107|	NAD salvage pathway V (PNC V cycle)	false	20	0	0	0	NAD-SYNTH-GLN-RXN
rxn00908_c0	glycine synthase	0.355565594687982	rxn00908_Shan	"cpd00003[c0],cpd00033[c0],cpd00087[c0],cpd00004[c0],cpd00011[c0],cpd00013[c0],cpd00125[c0]"	"NAD[c0],Glycine[c0],Tetrahydrofolate[c0],NADH[c0],CO2[c0],NH3[c0],5-10-Methylenetetrahydrofolate[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00908	glycine synthase	FALSE	0	1000	rxn00908_c0	contig_16_1815521:1816879	RXN-8629	lipoamide dehydrogenase	1.8.1.4/1.6.4.3	UniRef90_P31046	34.454	1.61e-61	213	97	contig_16	1815521	1816879	|GLYCINE-SYN2-PWY|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.8.1.4;http://identifiers.org/ec-code:1.6.4.3;http://identifiers.org/seed.reaction:rxn00908;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00908;http://identifiers.org/kegg.reaction:R01221;http://identifiers.org/bigg.reaction:GLYCL;http://identifiers.org/bigg.reaction:GLYCL_2;http://identifiers.org/bigg.reaction:GLYCLm;http://identifiers.org/bigg.reaction:GLYS;http://identifiers.org/metanetx.reaction:MNXR100330	MNXR100330	rxn00908	R01221	GLYCL;GLYCL_2;GLYCLm;GLYS	NA	|GLYCINE-SYN2-PWY|	glycine biosynthesis II	false	33	0	0	0	RXN-8629
rxn05466_c0	TRANS-RXN-173.ce	2.20833297985862	rxn05466_Shan	"cpd00013[e0],cpd00013[c0]"	"NH3[e0],NH3[c0]"	"-1,1"	"2,1"	rxn05466	TRANS-RXN-173.ce	TRUE	-1000	1000	rxn05466_c0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn05466;http://identifiers.org/SBO:0000185;http://identifiers.org/seed.reaction:rxn05466;http://identifiers.org/bigg.reaction:NH4t;http://identifiers.org/bigg.reaction:NH4tex;http://identifiers.org/bigg.reaction:NH4ti;http://identifiers.org/bigg.reaction:NH4tm;http://identifiers.org/bigg.reaction:NH4tn;http://identifiers.org/bigg.reaction:NH4tp;http://identifiers.org/bigg.reaction:NH4tpp;http://identifiers.org/biocyc:META:RXN-9615;http://identifiers.org/biocyc:META:TRANS-RXN0-206;http://identifiers.org/biocyc:META:TRANS-RXN0-544;http://identifiers.org/metanetx.reaction:MNXR101950	MNXR101950	rxn05466	NA	NH4t;NH4tex;NH4ti;NH4tm;NH4tn;NH4tp;NH4tpp	RXN-9615;TRANS-RXN0-206;TRANS-RXN0-544	NA
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.0016840321110865	rxn00060_Shan	"cpd00001[c0],cpd00689[c0],cpd00013[c0],cpd00755[c0]"	"H2O[c0],Porphobilinogen[c0],NH3[c0],Hydroxymethylbilane[c0]"	"-1,-4,4,1"	"1,1,1,1"	rxn00060	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	FALSE	0	1000	rxn00060_c0		OHMETHYLBILANESYN-RXN	porphobilinogen deaminase	2.5.1.61/4.3.1.8	UniRef90_P40129	28.409	9	21.6	90	contig_16	815958	815743	|PWY-5188|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.5.1.61;http://identifiers.org/ec-code:4.3.1.8;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00060;http://identifiers.org/kegg.reaction:R00084;http://identifiers.org/bigg.reaction:HMBS;http://identifiers.org/bigg.reaction:PPBNGD;http://identifiers.org/biocyc:META:OHMETHYLBILANESYN-RXN;http://identifiers.org/metanetx.reaction:MNXR100658	MNXR100658	rxn00060	R00084	HMBS;PPBNGD	OHMETHYLBILANESYN-RXN	|PWY-5188|	tetrapyrrole biosynthesis I (from glutamate)	false	0	0	0	0
rxn00114_c0	ATP:carbamate phosphotransferase	0.126663783467837	rxn00114_Shan	"cpd00002[c0],cpd00011[c0],cpd00013[c0],cpd00008[c0],cpd00067[c0],cpd00146[c0]"	"ATP[c0],CO2[c0],NH3[c0],ADP[c0],H+[c0],Carbamoylphosphate[c0]"	"-1,-1,-1,1,2,1"	"1,1,1,1,1,1"	rxn00114	ATP:carbamate phosphotransferase	TRUE	-1000	1000	rxn00114_c0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00114;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00114;http://identifiers.org/kegg.reaction:R00150;http://identifiers.org/bigg.reaction:CBMKr;http://identifiers.org/biocyc:META:CARBAMATE-KINASE-RXN;http://identifiers.org/metanetx.reaction:MNXR96482	MNXR96482	rxn00114	R00150	CBMKr	CARBAMATE-KINASE-RXN	NA
rxn00187_c0	L-Glutamate:ammonia ligase (ADP-forming)	0.803849127599306	rxn00187_Shan	"cpd00002[c0],cpd00013[c0],cpd00023[c0],cpd00008[c0],cpd00009[c0],cpd00053[c0],cpd00067[c0]"	"ATP[c0],NH3[c0],L-Glutamate[c0],ADP[c0],Phosphate[c0],L-Glutamine[c0],H+[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00187	L-Glutamate:ammonia ligase (ADP-forming)	FALSE	0	1000	rxn00187_c0		GLUTAMINESYN-RXN	glutamine synthetase	6.3.1.2	UniRef90_Q5SIP0	32.547	2.46e-43	159	85	contig_16	1673275	1674477	|GLNSYN-PWY|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:6.3.1.2;http://identifiers.org/seed.reaction:rxn00187;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00187;http://identifiers.org/kegg.reaction:R00253;http://identifiers.org/bigg.reaction:GALh;http://identifiers.org/bigg.reaction:GALm;http://identifiers.org/bigg.reaction:GLNS;http://identifiers.org/biocyc:META:GLUTAMINESYN-RXN;http://identifiers.org/metanetx.reaction:MNXR100024	MNXR100024	rxn00187	R00253	GALh;GALm;GLNS	GLUTAMINESYN-RXN	|GLNSYN-PWY|	L-glutamine biosynthesis I	false	0	0	0	0
rxn00268_c0	glycine:NAD+ oxidoreductase (deaminating)	-0.715148981333829	rxn00268_Shan	"cpd00001[c0],cpd00003[c0],cpd00033[c0],cpd00004[c0],cpd00013[c0],cpd00040[c0],cpd00067[c0]"	"H2O[c0],NAD[c0],Glycine[c0],NADH[c0],NH3[c0],Glyoxalate[c0],H+[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00268	glycine:NAD+ oxidoreductase (deaminating)	TRUE	-1000	0	rxn00268_c0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00268;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00268;http://identifiers.org/kegg.reaction:R00365;http://identifiers.org/biocyc:META:GLYCINE-DEHYDROGENASE-RXN;http://identifiers.org/metanetx.reaction:MNXR106492	MNXR106492	rxn00268	R00365	NA	GLYCINE-DEHYDROGENASE-RXN	NA
rxn00339_c0	L-Aspartate:ammonia ligase (ADP-forming)	0.0488193721021523	rxn00339_Shan	"cpd00002[c0],cpd00013[c0],cpd00041[c0],cpd00008[c0],cpd00009[c0],cpd00067[c0],cpd00132[c0]"	"ATP[c0],NH3[c0],L-Aspartate[c0],ADP[c0],Phosphate[c0],H+[c0],L-Asparagine[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00339	L-Aspartate:ammonia ligase (ADP-forming)	FALSE	0	1000	rxn00339_c0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00339;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00339;http://identifiers.org/kegg.reaction:R00482;http://identifiers.org/biocyc:META:6.3.1.4-RXN;http://identifiers.org/metanetx.reaction:MNXR106551	MNXR106551	rxn00339	R00482	NA	6.3.1.4-RXN	NA
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.0323870378390294	rxn00410_Shan	"cpd00002[c0],cpd00013[c0],cpd00062[c0],cpd00008[c0],cpd00009[c0],cpd00052[c0],cpd00067[c0]"	"ATP[c0],NH3[c0],UTP[c0],ADP[c0],Phosphate[c0],CTP[c0],H+[c0]"	"-1,-1,-1,1,1,1,2"	"1,1,1,1,1,1,1"	rxn00410	UTP:ammonia ligase (ADP-forming)	FALSE	0	1000	rxn00410_c0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00410;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00410;http://identifiers.org/kegg.reaction:R00571;http://identifiers.org/bigg.reaction:CTPS1;http://identifiers.org/biocyc:META:RXN-14325;http://identifiers.org/metanetx.reaction:MNXR96944	MNXR96944	rxn00410	R00571	CTPS1	RXN-14325	NA
rxn00487_c0	L-phenylalanine:NAD+ oxidoreductase (deaminating)	-0.0375205654584227	rxn00487_Shan	"cpd00001[c0],cpd00003[c0],cpd00066[c0],cpd00004[c0],cpd00013[c0],cpd00067[c0],cpd00143[c0]"	"H2O[c0],NAD[c0],L-Phenylalanine[c0],NADH[c0],NH3[c0],H+[c0],Phenylpyruvate[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn00487	L-phenylalanine:NAD+ oxidoreductase (deaminating)	TRUE	-1000	1000	rxn00487_c0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00487;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00487;http://identifiers.org/metanetx.reaction:MNXR106644	MNXR106644	rxn00487	NA	NA	NA	NA
rxn00726_c0	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	0.0115119916747433	rxn00726_Shan	"cpd00013[c0],cpd00216[c0],cpd00001[c0],cpd00020[c0],cpd00067[c0],cpd00093[c0]"	"NH3[c0],Chorismate[c0],H2O[c0],Pyruvate[c0],H+[c0],Anthranilate[c0]"	"-1,-1,1,1,1,1"	"1,1,1,1,1,1"	rxn00726	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	FALSE	0	1000	rxn00726_c0		ANTHRANSYN-RXN	anthranilate synthase	4.1.3.27		NA	NA	0	NA		NA	NA	|PWY-5958|	no_blast	NA	Subunit 1	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.1.3.27;http://identifiers.org/seed.reaction:rxn00726;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00726;http://identifiers.org/kegg.reaction:R00985;http://identifiers.org/bigg.reaction:ANS2;http://identifiers.org/bigg.reaction:ATNS_nh4;http://identifiers.org/metanetx.reaction:MNXR95844	MNXR95844	rxn00726	R00985	ANS2;ATNS_nh4	NA	|PWY-5958|	acridone alkaloid biosynthesis	false	0	2	0	0
rxn00916_c0	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	0.0530363957799183	rxn00916_Shan	"cpd00002[c0],cpd00013[c0],cpd00497[c0],cpd00012[c0],cpd00018[c0],cpd00067[c0],cpd00126[c0]"	"ATP[c0],NH3[c0],XMP[c0],PPi[c0],AMP[c0],H+[c0],GMP[c0]"	"-1,-1,-1,1,1,3,1"	"1,1,1,1,1,1,1"	rxn00916	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	FALSE	0	1000	rxn00916_c0		GMP-SYN-GLUT-RXN	xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming)	6.3.5.2/6.3.4.1	UniRef50_A0A3S4Y7U8	24.138	0.002	35.4	82	contig_16	1946265	1945672	|PWY-7221|	bad_blast	NA	NA	0	NA	1	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:6.3.5.2;http://identifiers.org/ec-code:6.3.4.1;http://identifiers.org/seed.reaction:rxn00916;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00916;http://identifiers.org/kegg.reaction:R01230;http://identifiers.org/bigg.reaction:GMPS;http://identifiers.org/bigg.reaction:GMPSm;http://identifiers.org/biocyc:META:GMP-SYN-NH3-RXN;http://identifiers.org/metanetx.reaction:MNXR100383	MNXR100383	rxn00916	R01230	GMPS;GMPSm	GMP-SYN-NH3-RXN	|PWY-7221|	guanosine ribonucleotides de novo biosynthesis	false	0	0	0	0
